X,Y,OGF_ID,LOCATION_ACCURACY,GEOMETRY_UPDATE_DATETIME,EFFECTIVE_DATETIME,SYSTEM_DATETIME,OBJECTID
-78.3993902,45.5181876,143649297,Within 10 metres,2021/07/29 10:38:37+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,1041
-79.185,45.922976,143649295,Within 10 metres,2021/07/29 10:38:37+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,1057
-78.2629563,45.5439499,143649294,Within 10 metres,2021/07/29 10:38:37+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,1073
-77.789255,45.720641,143649292,Within 10 metres,2021/07/29 10:38:37+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,1089
-78.4538861,45.5791687,143649291,Within 10 metres,2021/07/29 10:38:37+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,1105
-78.722,45.3701170000001,143649290,Within 10 metres,2021/07/29 10:38:37+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,1121
-78.2711823,45.5490441,143649289,Within 10 metres,2021/07/29 10:38:37+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,1137
-79.7576712,43.3989724,143649288,Within 10 metres,2021/07/29 10:38:37+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,1153
-79.7634804,43.4163886,143649287,Within 10 metres,2021/07/29 10:38:37+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,1169
-80.3373839,42.7085029,143649286,Within 10 metres,2021/07/29 10:38:37+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,1185
-77.2702454,43.9078472,143649283,Within 10 metres,2021/07/29 10:38:37+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,1201
-77.2696599,43.9091553,143649281,Within 10 metres,2021/07/29 10:38:37+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,1217
-77.2727593,43.9083733000001,143649278,Within 10 metres,2021/07/29 10:38:37+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,1233
-77.2606356,43.8987342,143649275,Within 10 metres,2021/07/29 10:38:37+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,1249
-77.2194972,43.8930527,143649273,Within 10 metres,2021/07/29 10:38:37+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,1265
-77.606,45.945182,143649271,Within 10 metres,2021/07/29 10:38:37+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,1281
-78.5930892,45.5518832,143649270,Within 10 metres,2021/07/29 10:38:37+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,1297
-78.242151,45.489075,143649268,Within 10 metres,2021/07/29 10:38:37+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,1313
-78.063,45.960188,143649266,Within 10 metres,2021/07/29 10:38:37+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,1329
-78.8830136,46.0888895000001,143649263,Within 10 metres,2021/07/29 10:38:37+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,1345
-78.374,45.587205,143649260,Within 10 metres,2021/07/29 10:38:37+00,2021/07/29 10:30:45+00,2021/08/03 11:09:25+00,1361
-75.8312382,45.0658152,181183349,Within 10 metres,2022/07/15 17:01:56+00,2022/07/15 16:52:25+00,2022/07/15 22:09:25+00,1601
-75.7979693,45.3730288,181183337,Within 10 metres,2022/07/15 17:01:56+00,2022/07/15 16:51:58+00,2022/07/15 22:09:25+00,1617
-76.0932081,45.5001402,181183346,Within 10 metres,2022/07/15 17:01:56+00,2022/07/15 16:52:25+00,2022/07/15 22:09:25+00,1633
-75.4918954,45.5053659,181183348,Within 10 metres,2022/07/15 17:01:56+00,2022/07/15 16:52:25+00,2022/07/15 22:09:25+00,1649
-76.0429591,45.3546328,181183343,Within 10 metres,2022/07/15 17:01:56+00,2022/07/15 16:52:25+00,2022/07/15 22:09:25+00,1665
-75.9981198,45.3507891,181183341,Within 10 metres,2022/07/15 17:01:57+00,2022/07/15 16:52:25+00,2022/07/15 22:09:25+00,1681
-75.6671896,45.4524115,181183339,Within 10 metres,2022/07/15 17:01:56+00,2022/07/15 16:52:25+00,2022/07/15 22:09:25+00,1697
-76.0919319,45.5007063,181183347,Within 10 metres,2022/07/15 17:01:57+00,2022/07/15 16:52:25+00,2022/07/15 22:09:25+00,1713
-75.8195006,45.072405,181183350,Within 10 metres,2022/07/15 17:01:56+00,2022/07/15 16:52:25+00,2022/07/15 22:09:25+00,1729
-75.6651893,45.4512095,181183338,Within 10 metres,2022/07/15 17:01:56+00,2022/07/15 16:52:25+00,2022/07/15 22:09:25+00,1745
-75.6614684,45.4430543,181183340,Within 10 metres,2022/07/15 17:01:56+00,2022/07/15 16:52:25+00,2022/07/15 22:09:25+00,1761
-76.0378703,45.3538177,181183342,Within 10 metres,2022/07/15 17:01:56+00,2022/07/15 16:52:25+00,2022/07/15 22:09:25+00,1777
-75.9275753,45.4066166,181183345,Within 10 metres,2022/07/15 17:01:56+00,2022/07/15 16:52:25+00,2022/07/15 22:09:25+00,1793
-76.2707672,45.4592556,181183344,Within 10 metres,2022/07/15 17:01:56+00,2022/07/15 16:52:25+00,2022/07/15 22:09:25+00,1809
-75.8586372,45.3327861,181567049,Within 10 metres,2022/07/19 15:54:37+00,2022/07/19 15:52:07+00,2022/07/19 22:39:25+00,1921
-75.7274259,45.3223622,181567070,Within 10 metres,2022/07/19 15:54:37+00,2022/07/19 15:52:07+00,2022/07/19 22:39:25+00,1937
-76.9710655,45.2396152,181566924,Within 10 metres,2022/07/19 15:55:46+00,2022/07/19 10:35:28+00,2022/07/19 22:39:25+00,1953
-75.6558678,45.0390032,181470913,Within 10 metres,2022/07/19 11:33:03+00,2022/07/18 11:05:03+00,2022/07/19 22:39:25+00,1969
-75.6341078,44.9958834,181470918,Within 10 metres,2022/07/19 11:33:03+00,2022/07/18 11:08:32+00,2022/07/19 22:39:25+00,1985
-75.8100014,45.3249335,181567050,Within 10 metres,2022/07/19 15:54:37+00,2022/07/19 15:52:07+00,2022/07/19 22:39:25+00,2001
-75.7397369,45.3911895,181567076,Within 10 metres,2022/07/19 15:54:37+00,2022/07/19 15:52:07+00,2022/07/19 22:39:25+00,2017
-75.6428186,45.0194377,181470915,Within 10 metres,2022/07/19 11:33:03+00,2022/07/18 11:06:43+00,2022/07/19 22:39:25+00,2033
-75.813812,45.2870626,181567043,Within 10 metres,2022/07/19 15:54:37+00,2022/07/19 15:51:10+00,2022/07/19 22:39:25+00,2049
-75.7427981,45.3275209,181567071,Within 10 metres,2022/07/19 15:54:37+00,2022/07/19 15:52:07+00,2022/07/19 22:39:25+00,2065
-76.7803062,45.2736073,181566920,Within 10 metres,2022/07/19 15:55:46+00,2022/07/19 10:33:31+00,2022/07/19 22:39:25+00,2081
-75.5130063,45.3948328,181567064,Within 10 metres,2022/07/19 15:54:37+00,2022/07/19 15:52:07+00,2022/07/19 22:39:25+00,2097
-75.8643936,45.3157138,181567072,Within 10 metres,2022/07/19 15:54:37+00,2022/07/19 15:52:07+00,2022/07/19 22:39:25+00,2113
-75.5587039,45.404284,181567061,Within 10 metres,2022/07/19 15:54:37+00,2022/07/19 15:52:07+00,2022/07/19 22:39:25+00,2129
-76.771611,45.2641993,181566921,Within 10 metres,2022/07/19 15:55:46+00,2022/07/19 10:33:39+00,2022/07/19 22:39:25+00,2145
-75.8210509,45.2997912,181567044,Within 10 metres,2022/07/19 15:54:37+00,2022/07/19 15:52:07+00,2022/07/19 22:39:25+00,2161
-75.8037767,45.3238683,181567051,Within 10 metres,2022/07/19 15:54:37+00,2022/07/19 15:52:07+00,2022/07/19 22:39:25+00,2177
-75.6709189,45.4572984,181567075,Within 10 metres,2022/07/19 15:54:37+00,2022/07/19 15:52:07+00,2022/07/19 22:39:25+00,2193
-75.8156976,45.293348,181567045,Within 10 metres,2022/07/19 15:54:37+00,2022/07/19 15:52:07+00,2022/07/19 22:39:25+00,2209
-75.8605607,45.3542802,181567052,Within 10 metres,2022/07/19 15:54:37+00,2022/07/19 15:52:07+00,2022/07/19 22:39:25+00,2225
-75.6596006,45.0296369,181470909,Within 10 metres,2022/07/19 11:33:03+00,2022/07/18 11:03:02+00,2022/07/19 22:39:25+00,2241
-76.7846014,45.2793776,181566922,Within 10 metres,2022/07/19 15:55:46+00,2022/07/19 10:34:12+00,2022/07/19 22:39:25+00,2257
-75.6626966,45.4592289,181567074,Within 10 metres,2022/07/19 15:54:37+00,2022/07/19 15:52:07+00,2022/07/19 22:39:25+00,2273
-75.6254652,45.4630076,181567073,Within 10 metres,2022/07/19 15:54:37+00,2022/07/19 15:52:07+00,2022/07/19 22:39:25+00,2289
-75.8744499,45.3017543,181567048,Within 10 metres,2022/07/19 15:54:37+00,2022/07/19 15:52:07+00,2022/07/19 22:39:25+00,2305
